cuit_emisor,razon_social,codigo_caja_valores,codigo_byma,denominacion_especie,tipo_titulo,fecha_alta,fecha_vencimiento,moneda,prefijo
30716684594,ASOCIACION CIVIL SUMATORIA PARA UNA NUEVA ECONOMIA,57683,ENC5P,ON PYME ASO.CIV.SUM CL.5 $ V26/03/26 CG,OBLIGACION NEGOCIABLE PYME,26/3/2024,26/3/2026,Pesos,ENC
30519527703,TERMOELECTRICA SA,55877,ELS1P,ON PYME CNV TERMOELECTRICA GAR. S.1 $ CG,OBLIGACION NEGOCIABLE PYME,27/12/2021,27/12/2026,Pesos,ELS
30640576428,GUALOK SRL,58005,GK1AP,ON GUALOK S.1 C.A V29/08/26 $ CG,OBLIGACION NEGOCIABLE PYME,29/8/2024,29/8/2026,Pesos,GK
33710735609,ASSERCA S.R.L.,58715,ESS1P,ON PYME ASSERCA S.1 $ CG,OBLIGACION NEGOCIABLE PYME,12/6/2025,12/6/2027,Pesos,ESS
30641234601,BISORDI KREMAR SRL,58047,KR1AP,ON BISORDI KR SER.1 CL.A VTO.5/9/26 $ CG,OBLIGACION NEGOCIABLE PYME,5/9/2024,5/9/2026,Pesos,KR
30716684594,ASOCIACION CIVIL SUMATORIA PARA UNA NUEVA ECONOMIA,59091,ENC8P,ON PYME ASOCIACION CIVIL SUMATORIA PARA UNA N,OUEBVLIAG EACCOIONNO NMEIGA OCCL.I8A B1L9E/ 1P2Y/M27E $,19/12/2025,19/12/2027,Pesos,ENC
33717152749,MILKYNET S.A.,58375,KIS1P,ON PYME MILKYNET S.1 V.27/12/26 $ CG,OBLIGACION NEGOCIABLE PYME,27/12/2024,27/12/2026,Pesos,KIS
30640576428,GUALOK SRL,58006,GK1BP,ON GUALOK S.1 C.B V29/08/29 $ CG,OBLIGACION NEGOCIABLE PYME,29/8/2024,29/8/2029,Pesos,GK
30707009892,PROSEIND S.A.,58665,PDS2P,ON PROSEIND S.2 V.26/05/27 $ CG,OBLIGACION NEGOCIABLE PYME,26/5/2025,26/5/2027,Pesos,PDS
30716155680,DARUMA PAGOS S.A.,57681,DPS1P,ON PYME CNV GAR DARUMA S.1 $ CG,OBLIGACION NEGOCIABLE PYME,25/3/2024,25/3/2026,Pesos,DPS
30707923446,AGRO DE SOUZA S.A.,57763,SZ12P,ON PYME AGRO DE SOUZA S.1 CL.2 U$S V21/05/27 CG,OBLIGACION NEGOCIABLE PYME,21/5/2024,21/5/2027,Pesos,SZ
30660920451,GRUAS SAN BLAS S.A,57704,GB21P,ON P GRUAS S BLAS CL1 S2 V22/04/26 $ CG,OBLIGACION NEGOCIABLE PYME,22/4/2024,22/4/2026,Pesos,GB
30640783199,ARGENSUN S.A,57834,AG22P,ON PYME ARGENSUN CL2S2 V14/12/26 U$S CG,OBLIGACION NEGOCIABLE PYME,14/6/2024,14/12/2026,Pesos,AG
30715659340,SAN BAUTISTA DEL SUR SA,58774,SB12L,ON PYME S. BAUTISTA S.1 CL.2 V.04/07/27 U$$ CG,OBLIGACION NEGOCIABLE PYME,4/7/2025,4/7/2027,Pesos,SB
30708847247,EXPRESO LANCIONI S.A,58778,EXS1P,ON PYME LANCIONI S.1 V.10/07/27 $ CG,OBLIGACION NEGOCIABLE PYME,10/7/2025,10/7/2027,Pesos,EXS
30707418849,MERIDIANO NORTE S.A.,57703,NOS2P,ON P MERIDIANO NORTE S.2 V22/04/26 $ CG,OBLIGACION NEGOCIABLE PYME,22/4/2024,22/4/2026,Pesos,NOS
30619780635,PROMEDON S.A.,57710,PB21P,ON PYME PROMEDON S2 CL1 V25/04/26 $ CG,OBLIGACION NEGOCIABLE PYME,25/4/2023,25/4/2026,Pesos,PB
33669088499,PRODEMAN S.A.,58046,PM32P,ON PYME PRODEMAN S3 CL2 V06/03/26 U$S CG,OBLIGACION NEGOCIABLE PYME,6/9/2024,6/3/2026,Pesos,PM
30715857460,HATTRICK ENERGY SAS,58049,HT11P,ON PYME HATTRICK E S1 C1 06/09/26 U$S CG,OBLIGACION NEGOCIABLE PYME,6/9/2024,6/9/2026,Pesos,HT
30714954071,LOS VALIENTES S.A.,57830,LVS1P,ON PYME LOS VALIENTES S.1 $ V11/06/26 CG,OBLIGACION NEGOCIABLE PYME,11/6/2024,11/6/2026,Pesos,LVS
33708830599,TRESNAL AGROPECUARIA S.A.,58373,EP3AP,ON PYME TRES AG. S.3 C.A V26/12/26 $ CG,OBLIGACION NEGOCIABLE PYME,26/12/2024,26/12/2026,Pesos,EP
30715595105,ASPRO SERVICIOS PETROLEROS SA,57860,AV22P,ON PYME ASPRO SA S2 C2 V28/09/26 US$ CG,OBLIGACION NEGOCIABLE PYME,28/6/2024,28/9/2026,Pesos,AV
30711075905,HIDROTEC S.A.,57976,HC22P,ON PYME HIDROTEC S2CL2 V21/08/26 U$S CG,OBLIGACION NEGOCIABLE PYME,21/8/2024,21/8/2026,Pesos,HC
30716620472,ALPARGATAS TEXTIL S.A.,58709,ALC2L,ON PY ALPARGATAS TEXTIL S.1 CL.2 $ CG,OBLIGACION NEGOCIABLE PYME,10/6/2025,10/6/2028,Pesos,ALC
33714669899,COLLINS S.A.,58955,LLS1L,ON PYME COLLINS S.1 23/10/27 $,OBLIGACION NEGOCIABLE PYME,23/10/2025,23/10/2027,Pesos,LLS
30707174702,C&C MEDICAL S S.A.,58668,YSS1L,ON PY C&C MED REG BA IMP S.1 V27/11/26 $ CG,OBLIGACION NEGOCIABLE PYME,27/5/2025,27/11/2026,Pesos,YSS
30547794482,AGRONORTE S.R.L.,58669,OR3AP,ON PYME AGRONORTE S.3 A $ V29/05/27 $ CG,OBLIGACION NEGOCIABLE PYME,29/5/2025,29/5/2027,Pesos,OR
33708830599,TRESNAL AGROPECUARIA S.A.,58779,EP4AP,ON PYME TRESNAL S.4 CL.A V14/07/27 $ CG,OBLIGACION NEGOCIABLE PYME,14/7/2025,14/7/2027,Pesos,EP
30698318895,RICARDO VENTURINO S.A,57995,VE42P,ON PYME R VENTURINO S4 C2 V27/02/26 US$ CG,OBLIGACION NEGOCIABLE PYME,27/8/2024,27/2/2026,Pesos,VE
30707211942,ROLCAR S.A,58134,RYS1P,ON ROLCAR S.1 V17/10/26 $ CG,OBLIGACION NEGOCIABLE PYME,17/10/2024,17/10/2026,Pesos,RYS
30698318895,RICARDO VENTURINO S.A,58944,VES1L,ON PYME RICARDO VENTURINO S.1 21/10/26 USD,OBLIGACION NEGOCIABLE PYME,21/10/2025,21/10/2026,Pesos,VES
30516877223,LILIANA SRL,58595,LNS3P,ON PY LILIANA SRL S.3 V.30/04/27 $ CG,OBLIGACION NEGOCIABLE PYME,30/4/2025,30/4/2027,Pesos,LNS
30712129766,AGRONEA PRODUCCIONES SRL,58799,SA1AP,ON PYME AGRONEA PROD. S.1 CL.A V.24/07/27 $ CG,OBLIGACION NEGOCIABLE PYME,24/7/2025,24/7/2027,Pesos,SA
30690076043,SION S.A.,58973,SNHBP,ON PYME SION S.16 CL.B 03/11/35 UVA,OBLIGACION NEGOCIABLE PYME,3/11/2025,3/11/2035,Pesos,SNHB
30710716923,LATAMLY S.A.,58777,LTS1L,ON PYME LATAMLY S.1 V.08/07/27 $ CG,OBLIGACION NEGOCIABLE PYME,8/7/2025,8/7/2027,Pesos,LTS
30707810927,COMPAÑIA TSB SA,57694,BTS1P,ON PYME COMPAÃ‘IA TSB S.1 V.12/04/26 $ CG,OBLIGACION NEGOCIABLE PYME,12/4/2024,12/4/2026,Pesos,BTS
30503423347,TALLERES METALURGICOS CRUCIANELLI S.A.,58057,TL21P,ON PYME CNV GARANTIZADA S 2 C 1 $ V. 10-09-26,OBLIGACION NEGOCIABLE PYME,10/9/2024,10/9/2026,Pesos,TL
30697172773,PARAMERICA S.A.,58156,PR21P,ON PYME PARAMERICA S2 C1 V22/10/26 $ CG,OBLIGACION NEGOCIABLE PYME,22/10/2024,22/10/2026,Pesos,PR
30710855850,CLORONOR S.A.,58191,OC12P,ON PYME CNV CLORONOR S1C2 V31-10-26 $ CG,OBLIGACION NEGOCIABLE PYME,31/10/2024,31/10/2026,Pesos,OC
30690076043,SION S.A.,59049,SNS1M,ON PYME SION S.1 04/12/26 $,OBLIGACION NEGOCIABLE PYME,4/12/2025,4/12/2026,Pesos,SNS
30714763225,CREATIVE PMO INTERNATIONAL S.A.,58083,CMS1P,ON CREATIVE PMO INT S.1 $ V.24/09/26 CG,OBLIGACION NEGOCIABLE PYME,24/9/2024,24/9/2026,Pesos,CMS
30590762233,ALBERTO J. OLIVERO E HIJOS S.A.,58898,JOS1P,ON PYME ALBERTO J. OLIVERO E HIJOS S.1 29/09/27 $,OBLIGACION NEGOCIABLE PYME,29/9/2025,29/9/2027,Pesos,JOS
30712257357,RDA RENTING S.A.,57939,RD41P,ON PYME RDA RENTING 4 CL1 V09/08/26 $ CG,OBLIGACION NEGOCIABLE PYME,9/8/2024,9/8/2026,Pesos,RD
30707816410,FERRETERIA DEL NORTE SRL,56927,FN1BP,ON P. FERR. DEL NORTE S1 B V22/3/28 $ CG,OBLIGACION NEGOCIABLE SIMPLE,22/3/2023,22/3/2028,Pesos,FN
30589527115,SURCOS S.A.,57588,DRDCO,ON SURCOS 12 CL.C VTO26/02/25 $ CG,OBLIGACION NEGOCIABLE SIMPLE,26/2/2024,26/2/2025,Pesos,DRDC
30707227415,BANCO DE CREDITO Y SECURITIZACION SA,58986,BDCKO,ON BACS CL.19 14/11/26 $,OBLIGACION NEGOCIABLE SIMPLE,14/11/2025,14/11/2026,Pesos,BDCK
33572266449,CARSA SA,53984,CH9BO,O.N. CARSA SERIE 9 CL.B V.15/10/26 $ ESC.,OBLIGACION NEGOCIABLE SIMPLE,25/1/2019,15/10/2026,Pesos,CH
33711217679,INSUGA CHACO S.A,57099,IC2BP,ON PYME INSUGA CHACO 2 B V08/06/28 $ CG,OBLIGACION NEGOCIABLE SIMPLE,8/6/2023,8/6/2028,Pesos,IC
30589527115,SURCOS S.A.,58205,DRFAO,ON SURCOS 14 CL.A V.08/11/26 U$S CG,OBLIGACION NEGOCIABLE SIMPLE,8/11/2024,8/11/2026,Pesos,DRFA
30641056177,CFN S.A.,58848,CFS8O,ON CFN S.8 VTO 22/08/26 $ CG,OBLIGACION NEGOCIABLE SIMPLE,22/8/2025,22/8/2026,Pesos,CFS
30501152826,LABORATORIOS RICHMOND S.A.C.I.F.,57957,LR6BO,ON LABORAT RICH S.6 CL.B V13/08/26 U$S CG,OBLIGACION NEGOCIABLE SIMPLE,13/8/2024,13/8/2026,Pesos,LR
30710125909,NEXO EMPRENDIMIENTOS S.A.,38447,ONXA2,O.N. NEXO EMPRENDIMIENTOS SERIE 1 $ CG,OBLIGACION NEGOCIABLE SIMPLE,4/3/2013,4/3/2015,Pesos,ONXA
30641487267,ACTUAL S.A.,54271,CT91P,ON PYME ACTUAL SA 9 CL.1 V10/06/21 $ CG,OBLIGACION NEGOCIABLE SIMPLE,18/6/2019,10/6/2021,Pesos,CT
30670157799,NUEVO BANCO DEL CHACO S.A.,59056,NHC1O,ON NUEVO BANCO DEL CHACO CL.1 09/12/26 $,OBLIGACION NEGOCIABLE SIMPLE,9/12/2025,9/12/2026,Pesos,NHC
30500011072,BANCO HIPOTECARIO S.A.,58850,HBCAO,ON BANCO HIPOTECARIO CL.10 V22/08/26 U$S CG,OBLIGACION NEGOCIABLE SIMPLE,22/8/2025,22/8/2026,Pesos,HBCA
30589527115,SURCOS S.A.,57729,DRSEO,ON SURCOS 13 VTO30/04/25 $ CG,OBLIGACION NEGOCIABLE SIMPLE,30/4/2024,3/10/2025,Pesos,DRSE
30714322938,CNH INDUSTRIAL CAPITAL ARGENTINA S.A.,57619,CIC6O,ON CNH IND. CL.6 V.28/02/26 U$S C.G.,OBLIGACION NEGOCIABLE SIMPLE,29/2/2024,28/2/2026,Pesos,CIC
30540127251,RUTA 3 AUTOMOTORES SA,58536,UTC3P,ON PYME RUTA 3 AUTOM CL.3 V13/03/27 $ CG,OBLIGACION NEGOCIABLE PYME,13/3/2025,13/3/2027,Pesos,UTC
30690076043,SION S.A.,57550,SNSEP,ON PYME SION CL. 13 18/01/27 UVA CG,OBLIGACION NEGOCIABLE PYME,18/1/2024,18/1/2027,Pesos,SNSE
30714436194,PRIGIONI AGRO SRL,58739,PG11L,ON PYME PRIGIONI S.1 CL.1 $ CG,OBLIGACION NEGOCIABLE PYME,24/6/2025,24/6/2027,Pesos,PG
30541416540,RATTO HNOS S.AC.F.A.,57748,HN12P,ON PYME RATTO HNOS S.1 CL.2 $ V09/05/26 CG,OBLIGACION NEGOCIABLE PYME,9/5/2024,9/5/2026,Pesos,HN
30712257357,RDA RENTING S.A.,58710,RDS1L,ON PYME RDA RENTING S.1 V11/06/27 $ CG,OBLIGACION NEGOCIABLE PYME,11/6/2025,11/6/2027,Pesos,RDS
30712257357,RDA RENTING S.A.,58939,RDS2L,ON PYME RDA RENTING S.2 20/10/27 $,OBLIGACION NEGOCIABLE PYME,20/10/2025,20/10/2027,Pesos,RDS
30714108235,LATITUD 45 PETROLEO Y GAS SA,58303,LA21P,ON LAT 45 PET Y GAS S2 C1-V.10-12-26,OBLIGACION NEGOCIABLE PYME,10/12/2024,10/12/2026,Pesos,LA
30714108235,LATITUD 45 PETROLEO Y GAS SA,58304,LA23P,ON LAT 45 PET Y GAS S2 C3-V.10-12-26 UVA,OBLIGACION NEGOCIABLE PYME,10/12/2024,10/12/2026,Pesos,LA
30718221516,BLM DESARROLLOS SA,58707,LMS1P,ON BLM DESRROLLOS S.1 V. 06/06/27 $ CG,OBLIGACION NEGOCIABLE PYME,6/6/2025,6/6/2027,Pesos,LMS
30503423347,TALLERES METALURGICOS CRUCIANELLI S.A.,58058,TL23P,ON PYME CNV GARANT. S2 C3 U$S V.10-09-26,OBLIGACION NEGOCIABLE PYME,10/9/2024,10/9/2026,Pesos,TL
30678145366,SEGUFER S.A.,57707,UFS3P,ON P SEGUFER S.3 V23/04/26 $ CG,OBLIGACION NEGOCIABLE PYME,23/4/2024,23/4/2026,Pesos,UFS
30678534214,ARBITRA S.A.,59076,AWS1L,ON PYME ARBITRA S.1 16/12/27 $,OBLIGACION NEGOCIABLE PYME,16/12/2025,16/12/2027,Pesos,AWS
30500011072,BANCO HIPOTECARIO S.A.,58474,HBC9O,ON BANCO HIPOTECARIO CL.9 V21/02/26 $ CG,OBLIGACION NEGOCIABLE SIMPLE,21/2/2025,21/2/2026,Pesos,HBC
33572266449,CARSA SA,52696,CHS8O,O.N. CARSA SERIE 8 V. 15/10/26 $ ESC.,OBLIGACION NEGOCIABLE SIMPLE,4/8/2017,15/10/2026,Pesos,CHS
30589527115,SURCOS S.A.,58207,DRFCO,ON SURCOS 14 CL.C V.08/08/25 $ CG,OBLIGACION NEGOCIABLE SIMPLE,8/11/2024,8/8/2025,Pesos,DRFC
30714813583,PAN AMERICAN ENERGY LLC (PAE SUCURSAL),57878,PNZCO,ON PAN AMERICAN ENER 33 V04/07/27 U$S CG,OBLIGACION NEGOCIABLE SIMPLE,4/7/2024,4/7/2027,Pesos,PNZC
30589527115,SURCOS S.A.,57587,DRDAO,ON SURCOS 12 CL.A VTO26/02/26 U$S CG,OBLIGACION NEGOCIABLE SIMPLE,26/2/2024,26/2/2026,Pesos,DRDA
30585581247,INVAP S.E.,57989,NV61O,ON INVAP CL 6 S 1 VTO 26/08/26 U$S ESC,OBLIGACION NEGOCIABLE SIMPLE,26/8/2024,26/8/2026,Pesos,NV
30697265895,BANCO DE SERVICIOS FINANCIEROS S.A.,58686,BSCRO,ON BCO.SERV. FINANC. 26 V02/06/26 $ CG,OBLIGACION NEGOCIABLE SIMPLE,2/6/2025,2/6/2026,Pesos,BSCR
30517637498,BANCO COLUMBIA S.A.,56034,BUC2O,ON BCO COLUMBIA CL.2 SUB V.31/03/29 $ CG,OBLIGACION NEGOCIABLE SIMPLE,31/3/2022,31/3/2029,Pesos,BUC
30641487267,ACTUAL S.A.,54272,CT92P,ON PYME ACTUAL SA 9 CL.2 V10/07/21 $ CG,OBLIGACION NEGOCIABLE SIMPLE,18/6/2019,10/7/2021,Pesos,CT
33550300899,SANTIAGO SAENZ S.A.,52604,SSC1O,O.N.SANTIAGO SAENZ CL.1 V.06/07/20 $ CG,OBLIGACION NEGOCIABLE SIMPLE,6/7/2017,29/12/2025,Pesos,SSC
30563598111,PETROQUIMICA COMODORO RIVADAVIA S.A,57895,PQCQO,ON PETROQUIMICA CL.Q V16/07/27 U$S CG,OBLIGACION NEGOCIABLE SIMPLE,16/7/2024,16/7/2027,Pesos,PQCQ
30525966859,RIBEIRO S.A.C.I.F.A. E I.,51764,RIP1O,O.N. RIBEIRO CL P S.1 V.30/6/26 $ C.G.,OBLIGACION NEGOCIABLE SIMPLE,18/8/2016,30/6/2026,Pesos,RIP
30682504125,ALBANESI S.A.,83471,LEC9O,ON ALBANESI 9 VTO13/02/26 UVA CG,OBLIGACION NEGOCIABLE SIMPLE,13/2/2023,13/2/2026,Pesos,LEC
30639453738,TELECOM ARGENTINA S.A.,57485,TLCKO,ON TELECOM CL. 19 V17/11/26 U$S CG,OBLIGACION NEGOCIABLE SIMPLE,17/11/2023,17/11/2026,Pesos,TLCK
30639453738,TELECOM ARGENTINA S.A.,57800,TLCLO,ON TELECOM CL.20 V06/06/26 U$S CG,OBLIGACION NEGOCIABLE SIMPLE,6/6/2024,6/6/2026,Pesos,TLCL
30707847367,PSA FINANCE ARGENTINA CIA FINANCIERA SA,58366,PSSWO,ON PSA FINANCE ARG CIA FIN S.30 $ CG,OBLIGACION NEGOCIABLE SIMPLE,23/12/2024,23/6/2026,Pesos,PSSW
30546689979,YPF S.A.,83809,YMCWO,ON YPF CLASE 30 U$S VTO 01/07/26 C.G,OBLIGACION NEGOCIABLE SIMPLE,1/7/2024,1/7/2026,Pesos,YMCW
30682504125,ALBANESI S.A.,57965,LECJO,ON ALBANESI ENERG. CL.18 V30/08/27 UVA CG,OBLIGACION NEGOCIABLE SIMPLE,30/8/2024,30/8/2027,Pesos,LECJ
30516139451,GEORGALOS HERMANOS Y CIA,56860,GE21P,ON PYME GEORGALOS S2 CL1 V22/02/26 $ CG,OBLIGACION NEGOCIABLE SIMPLE,22/2/2023,22/2/2026,Pesos,GE
30525966859,RIBEIRO S.A.C.I.F.A. E I.,51010,RICOO,O.N. RIBEIRO CLASE O V.30/06/20 $ C.G.,OBLIGACION NEGOCIABLE SIMPLE,13/11/2015,30/6/2020,Pesos,RICO
30525966859,RIBEIRO S.A.C.I.F.A. E I.,53595,RIS1O,O.N.RIBEIRO CL. S S.1 V.30/6/28 $ C.G,OBLIGACION NEGOCIABLE SIMPLE,28/6/2018,30/6/2028,Pesos,RIS
30506733932,CIA GENERAL DE COMBUSTIBLES S.A.,84925,CP35O,ON CIA GEN.COMB. CL.35 V28/02/26 US$ CG,OBLIGACION NEGOCIABLE SIMPLE,28/6/2024,28/2/2026,Pesos,CP
30639453738,TELECOM ARGENTINA S.A.,57484,TLCJO,ON TELECOM CL. 18 V17/11/27 UVA CG,OBLIGACION NEGOCIABLE SIMPLE,17/11/2023,17/11/2027,Pesos,TLCJ
30692304884,FCA CIA. FINANCIERA SA,58684,FTM2O,ON FCA COMP.F CL21 S.2 V.30/05/26 $ CG,OBLIGACION NEGOCIABLE SIMPLE,30/5/2025,30/5/2026,Pesos,FTM
30682504125,ALBANESI S.A.,57575,LECDO,ON ALBANESI ENERGIA 12 V14/02/26 U$S CG,OBLIGACION NEGOCIABLE SIMPLE,14/2/2024,14/2/2026,Pesos,LECD
30682504125,ALBANESI S.A.,56839,LEC9O,ON ALBANESI 9 VTO13/02/26 UVA CG,OBLIGACION NEGOCIABLE SIMPLE,13/2/2023,13/2/2026,Pesos,LEC
30525966859,RIBEIRO S.A.C.I.F.A. E I.,52203,RIQ1O,O.N. RIBEIRO CL Q S.1 V.30/06/24 $ C.G.,OBLIGACION NEGOCIABLE SIMPLE,31/12/2016,30/6/2024,Pesos,RIQ
30600615889,SPECIAL GRAINS S.A/PETROAGRO S.A.,57438,SOC3O,ON SPECIAL GRAINS SA CL.3 V.11/10/26 US$ CG,OBLIGACION NEGOCIABLE SIMPLE,11/10/2023,11/10/2026,Pesos,SOC
30629827060,CAPEX S.A.,57880,CACAO,ON CAPEX CL.10 U$S V.5/07/27 C.G.,OBLIGACION NEGOCIABLE SIMPLE,5/7/2023,5/7/2027,Pesos,CACA
30593174057,RIZOBACTER ARGENTINA S.A.,58259,RZAAO,ON RIZOBACTER S.10 CL.A V28/11/26 U$S CG,OBLIGACION NEGOCIABLE SIMPLE,28/11/2024,28/11/2026,Pesos,RZAA
30692304884,FCA CIA. FINANCIERA SA,58274,FTL2O,ON FCA COMP.F CL20 S.2 V.01/03/26 $ CG,OBLIGACION NEGOCIABLE SIMPLE,29/11/2024,1/3/2026,Pesos,FTL
30506733932,CIA GENERAL DE COMBUSTIBLES S.A.,57585,CP33O,ON CIA GEN.COMB. CL.33 V23/02/26 US$ CG,OBLIGACION NEGOCIABLE SIMPLE,23/2/2024,23/2/2026,Pesos,CP
30639453738,TELECOM ARGENTINA S.A.,57937,TLCNO,ON TELECOM CL.22 V06/02/26 U$S CG,OBLIGACION NEGOCIABLE SIMPLE,6/8/2024,6/2/2026,Pesos,TLCN
30682504125,ALBANESI S.A.,57964,LECIO,ON ALBANESI ENERG. CL.17 V28/08/28 U$S CG,OBLIGACION NEGOCIABLE SIMPLE,28/8/2024,28/8/2028,Pesos,LECI
33715184139,GENERACION LITORAL SA,56906,GOC3O,ON GENERA. LITORAL CL3 V.28/03/36 U$S CG,OBLIGACION NEGOCIABLE SIMPLE,8/3/2023,28/3/2036,Pesos,GOC
30713722703,OZOG VIAL S.R.L,56725,OV1BP,ON PYME OZOG VIAL 1 CL. B V23/12/27 $ CG,OBLIGACION NEGOCIABLE SIMPLE,23/12/2022,23/12/2027,Pesos,OV
30510968413,SUC. DE GUSTAVO LAGERHEIM S.A.,56893,SG1BP,ON PYME SUGLA SA S1 CL. B $ V08/03/28 CG,OBLIGACION NEGOCIABLE SIMPLE,8/3/2023,8/3/2028,Pesos,SG
30502793175,ARCOR S.A.I.C.,59072,RC3CO,ON ARCOR CL.3 15/12/26 $,OBLIGACION NEGOCIABLE SIMPLE,15/12/2025,15/12/2026,Pesos,RC
30665234114,GENNEIA S.A.,56837,GN38O,ON GENNEIA CL.38 V.10/02/33 U$S C.G,OBLIGACION NEGOCIABLE SIMPLE,10/2/2023,10/2/2033,Pesos,GN
30525966859,RIBEIRO S.A.C.I.F.A. E I.,52944,RIR1O,O.N.RIBEIRO CL. R S.1 V.30/6/27 $ C.G,OBLIGACION NEGOCIABLE SIMPLE,27/10/2017,30/6/2027,Pesos,RIR
30708633417,GRUPO ST S.A.,57578,STCAO,ON GRUPO ST CL. 10 V19/02/26 $ CG,OBLIGACION NEGOCIABLE SIMPLE,19/2/2024,19/2/2026,Pesos,STCA
30502793175,ARCOR S.A.I.C.,58625,RCCTO,ON ARCOR CL.27 V09/05/26 $ CG,OBLIGACION NEGOCIABLE SIMPLE,9/5/2025,9/5/2026,Pesos,RCCT
30708142693,AGROBICIUFFA SRL,57134,AB1BP,ON P AGROBICIUFFA 1 CL.B V16/06/28 $ CG,OBLIGACION NEGOCIABLE SIMPLE,16/6/2023,16/6/2028,Pesos,AB
30682504125,ALBANESI S.A.,58225,LECLO,ON ALBANESI ENERG.CL.20 V01/11/31 U$S CG,OBLIGACION NEGOCIABLE SIMPLE,8/11/2024,1/11/2031,Pesos,LECL
30707923446,AGRO DE SOUZA S.A.,57762,SZ11P,ON PYME AGRO DE SOUZA S.1 CL.1 $ V21/05/26 CG,OBLIGACION NEGOCIABLE PYME,21/5/2024,21/5/2026,Pesos,SZ
30693383427,PRODUSEM S.A.,57720,PO22P,ON PYME PRODUSEM S2 CL2 U$S V30/04/26 CG,OBLIGACION NEGOCIABLE PYME,30/4/2024,30/4/2026,Pesos,PO
30539301388,GARRO FABRIL S.A,58044,GF2BP,ON PYME GARRO FABRIL S.2 C.B U$S C.G.,OBLIGACION NEGOCIABLE PYME,6/9/2024,6/9/2026,Pesos,GF
