symbol,issuer,cuit,sector,currency,settlement,price,bid,ask,volume,spread_abs,spread_pct,years_to_maturity,maturity_date,liquidity_score,is_mapped
CS44O,Cresud S.A.C.I.F. y A.,30509300700,Agro - Real Estate,ARS,2,157650.0,157670.0,160780.0,20772464.7,3110.0,1.9725,0.5476,2027-01-17,88.16,True
PNXCO,Pan American Energy LLC (PAE Sucursal),30714813583,Energía - Petróleo y Gas,ARS,2,171380.0,170530.0,171520.0,20501500.0,990.0,0.5805,5.8316,2032-04-30,91.44,True
RZBCO,RIZOBACTER ARGENTINA S.A.,30593174057,,ARS,2,99050.0,99360.0,105000.0,20287437.5,5640.0,5.6763,3.1759,2029-09-03,83.05,True
CICBO,CNH INDUSTRIAL CAPITAL ARGENTINA S.A.,30714322938,,ARS,2,156820.0,155130.0,156890.0,20067092.2,1760.0,1.1345,2.6119,2029-02-09,89.36,True
TTC8O,Tecpetrol S.A.,30592665472,Energía - Petróleo y Gas,ARS,2,158040.0,155750.0,158030.0,19853158.5,2280.0,1.4639,1.3142,2027-10-24,87.36,True
YMCJO,YPF S.A.,30546689979,Energía - Petróleo y Gas,ARS,1,162020.0,162710.0,163000.0,18580571.1,290.0,0.1782,7.2498,2033-09-30,96.21,True
VSCVO,Vista Oil & Gas Argentina S.A.U.,33515950899,Energía - Petróleo y Gas,ARS,1,168710.0,168400.0,168580.0,18570800.0,180.0,0.1069,6.9432,2033-06-10,94.48,True
BYCHO,Banco de Galicia y Buenos Aires S.A.,30500001735,Financiero - Bancos,ARS,2,163830.0,164390.0,165280.0,18173661.9,890.0,0.5414,2.2779,2028-10-10,89.99,True
PNDCO,Pan American Energy LLC (PAE Sucursal),30714813583,Energía - Petróleo y Gas,ARS,2,64480.0,64450.0,65350.0,17525000.0,900.0,1.3964,0.8296,2027-04-30,88.58,True
TSC3O,[TSC],,Sin mapear,ARS,2,172700.0,172570.0,173320.0,17270000.0,750.0,0.4346,5.0623,2031-07-24,90.74,False
MGCNO,Pampa Energía S.A.,30526552659,Energía - Electricidad,ARS,2,158000.0,158000.0,158700.0,17253026.7,700.0,0.443,2.2615,2028-10-04,93.65,True
OLC7O,OLEODUCTOS DEL VALLE S.A.,30658840165,,ARS,2,159710.0,159160.0,159990.0,17137351.5,830.0,0.5215,3.6496,2030-02-23,91.74,True
YM37O,YPF S.A.,30546689979,Energía - Petróleo y Gas,ARS,1,158990.0,158840.0,158990.0,17124088.3,150.0,0.0944,0.8487,2027-05-07,95.05,True
RZABO,Rizobacter Argentina S.A.,30593174057,Agro - Biotech,ARS,2,107000.0,104000.0,107000.0,17069670.0,3000.0,2.8846,1.41,2027-11-28,84.88,True
OLC6O,OLEODUCTOS DEL VALLE S.A.,30658840165,,ARS,2,160230.0,160500.0,163970.0,16607142.5,3470.0,2.162,2.9295,2029-06-05,86.35,True
CS50O,Cresud S.A.C.I.F. y A.,30509300700,Agro - Real Estate,ARS,2,162800.0,162800.0,163270.0,16383120.3,470.0,0.2887,2.6913,2029-03-10,94.14,True
VSCTO,Vista Oil & Gas Argentina S.A.U.,33515950899,Energía - Petróleo y Gas,ARS,2,163620.0,162990.0,163820.0,16368000.0,830.0,0.5092,9.4428,2035-12-10,89.94,True
CS48O,Cresud S.A.C.I.F. y A.,30509300700,Agro - Real Estate,ARS,2,165570.0,164760.0,165650.0,16219108.7,890.0,0.5402,2.0287,2028-07-11,92.69,True
OZC8O,EMPRESA DISTRIB DE ELECTRICIDAD DE MENDOZA S.A.,30699542454,,ARS,2,154570.0,152280.0,154170.0,15457000.0,1890.0,1.2411,6.9459,2033-06-11,86.08,True
HJCFO,John Deere Credit Cía. Financiera S.A.,30707024859,Financiero - Crédito Industrial,ARS,2,154500.0,154500.0,156650.0,15450000.0,2150.0,1.3916,0.3066,2026-10-21,86.17,True
RCCRO,Arcor S.A.I.C.,30502793175,Consumo - Alimentos,ARS,2,158550.0,157680.0,158840.0,14097196.5,1160.0,0.7357,0.8542,2027-05-09,90.54,True
VAC3P,[VAC],,Sin mapear,ARS,2,149000.0,147000.0,149000.0,13995346.0,2000.0,1.3605,1.3224,2027-10-27,87.86,False
PNXCO,Pan American Energy LLC (PAE Sucursal),30714813583,Energía - Petróleo y Gas,ARS,1,171050.0,170410.0,171590.0,13696800.0,1180.0,0.6924,5.8316,2032-04-30,89.39,True
DEC2O,Empresa Distrib. de Electricidad Salta S.A.,30690633635,Energía - Electricidad,ARS,2,156000.0,156000.0,156500.0,12747701.5,500.0,0.3205,0.6516,2027-02-24,93.83,True
LUC5O,[LUC],,Sin mapear,ARS,2,157000.0,155520.0,157270.0,12569763.2,1750.0,1.1253,2.6585,2029-02-26,88.62,False
SBC1O,SAN BAUTISTA DEL SUR SA,30715659340,,ARS,2,112000.0,111500.0,112000.0,12299203.5,500.0,0.4484,1.18,2027-09-05,92.63,True
IRCNO,IRSA Inversiones y Representaciones S.A.,30524688673,Real Estate,ARS,2,158900.0,157020.0,158660.0,12044312.4,1640.0,1.0445,1.3114,2027-10-23,89.04,True
PN37O,Pan American Energy LLC (PAE Sucursal),30714813583,Energía - Petróleo y Gas,ARS,2,159150.0,157450.0,158500.0,11565711.1,1050.0,0.6669,2.371,2028-11-13,90.69,True
SIC2O,[SIC],,Sin mapear,ARS,2,155400.0,152710.0,155500.0,10915931.0,2790.0,1.827,2.9678,2029-06-19,87.24,False
TLCWO,Telecom Argentina S.A.,30639453738,Telecomunicaciones,ARS,2,153160.0,152270.0,153160.0,10856429.1,890.0,0.5845,3.9097,2030-05-29,92.1,True
YM43O,YPF S.A.,30546689979,Energía - Petróleo y Gas,ARS,2,154900.0,153100.0,154900.0,10714002.6,1800.0,1.1757,3.7864,2030-04-14,89.18,True
YFCLO,YPF Energía Eléctrica S.A.,30714128309,Energía - Electricidad,ARS,2,160000.0,158510.0,160000.0,10642188.6,1490.0,0.94,2.3929,2028-11-21,89.84,True
PQCRO,Petroquímica Comodoro Rivadavia S.A.,30563598111,Industria - Petroquímica,ARS,2,151000.0,151300.0,152000.0,10550000.0,700.0,0.4627,2.3107,2028-10-22,92.99,True
MGCEO,Pampa Energía S.A.,30526552659,Energía - Electricidad,ARS,2,152000.0,149900.0,152000.0,10286354.7,2100.0,1.4009,1.4675,2027-12-19,87.91,True
SNEAO,SION S.A.,30690076043,,ARS,2,98400.0,96000.0,98400.0,10214777.4,2400.0,2.5,3.0363,2029-07-14,86.47,True
VSCUO,Vista Oil & Gas Argentina S.A.U.,33515950899,Energía - Petróleo y Gas,ARS,1,164000.0,164200.0,167500.0,10159310.0,3300.0,2.0097,3.6824,2030-03-07,85.92,True
TLCTO,Telecom Argentina S.A.,30639453738,Telecomunicaciones,ARS,1,170750.0,170760.0,171190.0,10033121.6,430.0,0.2518,9.5551,2036-01-20,93.96,True
XMC1O,Minera Exar S.A.,30709667587,Minería - Litio,ARS,2,159500.0,156730.0,159500.0,9882094.5,2770.0,1.7674,1.3634,2027-11-11,86.09,True
PN41O,Pan American Energy LLC (PAE Sucursal),30714813583,Energía - Petróleo y Gas,ARS,2,167500.0,165570.0,167710.0,9747991.8,2140.0,1.2925,3.1567,2029-08-27,88.49,True
T662O,Tarjeta Naranja S.A.,30685376349,Financiero - Crédito Consumo,ARS,2,154900.0,154900.0,155470.0,9427748.0,570.0,0.368,0.167,2026-08-31,91.03,True
JNC7O,[JNC],,Sin mapear,ARS,2,151000.0,147000.0,0.0,8909000.0,,,1.9849,2028-06-25,68.88,False
CS53O,Cresud S.A.C.I.F. y A.,30509300700,Agro - Real Estate,ARS,2,154870.0,152500.0,156700.0,8691043.5,4200.0,2.7541,3.8303,2030-04-30,84.41,True
PN34O,Pan American Energy LLC (PAE Sucursal),30714813583,Energía - Petróleo y Gas,ARS,2,156900.0,156500.0,157940.0,8688754.2,1440.0,0.9201,1.2402,2027-09-27,88.95,True
OTS2O,[OTS],,Sin mapear,ARS,2,157800.0,157850.0,160990.0,8444945.0,3140.0,1.9892,0.8131,2027-04-24,85.05,False
ZPC5O,PLAZA LOGISTICA S.R.L.,30655942382,,ARS,2,152100.0,150900.0,154500.0,7606540.0,3600.0,2.3857,2.987,2029-06-26,83.56,True
HJCIO,John Deere Credit Cía. Financiera S.A.,30707024859,Financiero - Crédito Industrial,ARS,2,156000.0,155510.0,156000.0,7529500.0,490.0,0.3151,0.9035,2027-05-27,91.83,True
ZPC3O,PLAZA LOGISTICA S.R.L.,30655942382,,ARS,2,159870.0,158150.0,159940.0,7404081.5,1790.0,1.1318,1.1745,2027-09-03,87.69,True
CAC5O,Capex S.A.,30629827060,Energía - Electricidad,ARS,2,103620.0,101510.0,103620.0,7384451.2,2110.0,2.0786,2.152,2028-08-25,86.6,True
PLC2O,Pluspetrol S.A.,30678224010,Energía - Petróleo y Gas,ARS,2,162960.0,162700.0,162990.0,7268762.1,290.0,0.1782,3.5756,2030-01-27,94.57,True
VSCPO,Vista Oil & Gas Argentina S.A.U.,33515950899,Energía - Petróleo y Gas,ARS,2,164800.0,164000.0,164810.0,7217392.9,810.0,0.4939,2.8392,2029-05-03,91.97,True
NPCCO,[NPC],,Sin mapear,ARS,2,166010.0,166010.0,166800.0,7189429.7,790.0,0.4759,3.1513,2029-08-25,92.65,False
EAC3O,MSU GREEN ENERGY S.A.U.,30714155128,,ARS,2,154000.0,154000.0,155500.0,7127620.0,1500.0,0.974,2.4723,2028-12-20,88.67,True
TLCMO,Telecom Argentina S.A.,30639453738,Telecomunicaciones,ARS,1,177380.0,177630.0,178070.0,7095200.0,440.0,0.2477,5.0459,2031-07-18,91.83,True
HJCJO,John Deere Credit Cía. Financiera S.A.,30707024859,Financiero - Crédito Industrial,ARS,2,164000.0,161600.0,162000.0,6560000.0,400.0,0.2475,1.065,2027-07-25,90.9,True
BACGO,[BAC],,Sin mapear,ARS,1,161610.0,161720.0,162640.0,6491400.0,920.0,0.5689,2.9788,2029-06-23,89.62,False
YM41O,YPF S.A.,30546689979,Energía - Petróleo y Gas,ARS,2,156950.0,155930.0,157170.0,6083301.1,1240.0,0.7952,0.5229,2027-01-08,89.85,True
MSSFO,MSU S.A.,30607597193,Energía,ARS,2,157000.0,155620.0,159000.0,6040842.0,3380.0,2.172,1.0595,2027-07-23,85.43,True
LOC6O,[LOC],,Sin mapear,ARS,2,159400.0,159480.0,160730.0,5744028.6,1250.0,0.7838,2.5654,2029-01-23,89.76,False
GYC4O,[GYC],,Sin mapear,ARS,2,153000.0,152150.0,152990.0,5737877.5,840.0,0.5521,1.3306,2027-10-30,90.09,False
PLC3O,Pluspetrol S.A.,30678224010,Energía - Petróleo y Gas,ARS,2,162500.0,162520.0,163200.0,5653845.5,680.0,0.4184,1.8316,2028-04-30,93.51,True
LDCGO,[LDC],,Sin mapear,ARS,2,154290.0,152500.0,154290.0,5229896.2,1790.0,1.1738,1.2594,2027-10-04,87.82,False
YFCIO,YPF Energía Eléctrica S.A.,30714128309,Energía - Electricidad,ARS,2,162000.0,156620.0,162000.0,5209184.0,5380.0,3.4351,0.95,2027-06-13,82.97,True
GN47O,Genneia S.A.,30665234114,Energía - Renovable,ARS,2,158000.0,156010.0,163960.0,5132120.0,7950.0,5.0958,2.2971,2028-10-17,82.35,True
EMC1O,[EMC],,Sin mapear,ARS,2,160150.0,160900.0,163500.0,5124800.0,2600.0,1.6159,1.0075,2027-07-04,84.68,False
PLC6O,Pluspetrol S.A.,30678224010,Energía - Petróleo y Gas,ARS,1,160000.0,160000.0,162490.0,4800000.0,2490.0,1.5562,2.6612,2029-02-27,84.76,True
YFCMO,YPF Energía Eléctrica S.A.,30714128309,Energía - Electricidad,ARS,2,160000.0,156870.0,160070.0,4680811.7,3200.0,2.0399,0.8843,2027-05-20,85.15,True
OT42O,[OT4],,Sin mapear,ARS,1,165300.0,163510.0,167900.0,4443791.2,4390.0,2.6849,3.5483,2030-01-17,84.49,False
YM42O,YPF S.A.,30546689979,Energía - Petróleo y Gas,ARS,1,160490.0,159710.0,160600.0,4391218.8,890.0,0.5573,2.6694,2029-03-02,89.94,True
