volumen_nominal,ticker,imbalance,precio_settlement_anterior,precio_venta,openInterest,precio_promedio,description,cantidad_operaciones,apertura,tickDirection,securityDesc,securitySubType,fecha_vencimiento,precio_cierre_anterior,tipo_liquidacion,cantidad_venta,maximo,moneda,precio_compra,minimo,mercado,monto_operado,volume,ultimo_precio,dias_al_vencimiento,tipo_instrumento,closingPrice,settlementPrice,cantidad_compra,hora_ultimo_trade,years_to_maturity,spread_abs,spread_pct,liquidity_score,issuer,cuit,sector,is_mapped
26818.0,MCC3O,-0.0046,153010.0,153690.0,0.0,152493.6497875,,17,154000.0,-1,,,2030-05-11,153010.0,2,14338.0,154000.0,ARS,152200.0,152100.0,BYMA,40895747.0,26818.0,152300.0,1411,CORP,0.0,152300.0,10201.0,11:29:34,3.8631,1490.0,0.979,93.89,[MCC],,Sin mapear,False
22000.0,VSCVO,0.0052,166150.0,167020.0,0.0,166433.6363636,,19,166490.0,0,,,2033-06-10,166150.0,2,6000.0,167080.0,ARS,166440.0,165010.0,BYMA,36615400.0,22000.0,167030.0,2537,CORP,0.0,167030.0,10000.0,11:30:33,6.9459,580.0,0.3485,97.77,Vista Oil & Gas Argentina S.A.U.,33515950899,Energía - Petróleo y Gas,True
21852.0,VSCRO,0.0076,162100.0,163340.0,0.0,163152.2327476,,52,163990.0,-1,,,2031-10-10,162100.0,2,1288.0,165010.0,ARS,163180.0,160510.0,BYMA,35652025.9,21852.0,163340.0,1928,CORP,0.0,163340.0,6272.0,11:32:17,5.2786,160.0,0.0981,99.31,Vista Oil & Gas Argentina S.A.U.,33515950899,Energía - Petróleo y Gas,True
19551.0,YMCXO,0.0042,170200.0,170920.0,0.0,170836.2022403,,74,172000.0,0,,,2031-09-11,170200.0,2,782.0,172000.0,ARS,170700.0,170000.0,BYMA,33400185.9,19551.0,170920.0,1899,CORP,0.0,170920.0,6486.0,11:32:35,5.1992,220.0,0.1289,99.24,YPF S.A.,30546689979,Energía - Petróleo y Gas,True
21263.0,CP40O,0.0443,149290.0,155910.0,0.0,155851.8708555,,4,154410.0,-1,,,2028-03-09,149290.0,1,8223.0,155910.0,ARS,145010.0,154410.0,BYMA,33138783.3,21263.0,155910.0,618,CORP,0.0,155910.0,3948.0,10:57:48,1.692,10900.0,7.5167,85.58,CIA GENERAL DE COMBUSTIBLES S.A.,30506733932,,True
20000.0,MGCOO,0.0040999999999999995,161330.0,162000.0,0.0,162000.0,,2,162000.0,-1,,,2034-12-16,161330.0,2,20000.0,162000.0,ARS,161570.0,162000.0,BYMA,32400000.0,20000.0,162000.0,3091,CORP,0.0,162000.0,10000.0,11:22:20,8.4627,430.0,0.2661,96.7,Pampa Energía S.A.,30526552659,Energía - Electricidad,True
23206.0,YMCIO,0.0034999999999999996,138550.0,139020.0,0.0,139039.1385848,,80,141430.0,-1,,,2029-07-02,138550.0,2,317.0,141520.0,ARS,138800.0,137270.0,BYMA,32265422.5,23206.0,139040.0,1098,CORP,0.0,139040.0,100.0,11:30:30,3.0062,220.0,0.1585,98.93,YPF S.A.,30546689979,Energía - Petróleo y Gas,True
20000.0,VSCTO,0.0031,160690.0,162240.0,0.0,161165.0,,2,161140.0,0,,,2035-12-10,160690.0,2,10000.0,161190.0,ARS,161080.0,161140.0,BYMA,32233000.0,20000.0,161190.0,3450,CORP,0.0,161190.0,20000.0,11:23:32,9.4456,1160.0,0.7201,93.93,Vista Oil & Gas Argentina S.A.U.,33515950899,Energía - Petróleo y Gas,True
17110.0,YM39O,-0.0009,171810.0,172020.0,0.0,171834.1525424,,29,176100.0,2,,,2030-07-22,171810.0,2,1000.0,176100.0,ARS,171500.0,170320.0,BYMA,29400823.5,17110.0,171650.0,1483,CORP,0.0,171650.0,3919.0,11:30:33,4.0602,520.0,0.3032,97.92,YPF S.A.,30546689979,Energía - Petróleo y Gas,True
17012.0,RUCDO,0.0026,159310.0,159730.0,0.0,159263.0901716,,45,160000.0,0,,,2030-12-05,159310.0,2,3070.0,162000.0,ARS,159250.0,157600.0,BYMA,27093836.9,17012.0,159730.0,1619,CORP,0.0,159730.0,736.0,11:24:15,4.4326,480.0,0.3014,98.01,CERAMICA RUTA 16 S.R.L.,30710080085,,True
16000.0,TTCDO,0.0,161800.0,162940.0,0.0,161800.0,,9,161800.0,-1,,,2030-11-03,161800.0,2,8000.0,161800.0,ARS,161880.0,161800.0,BYMA,25888000.0,16000.0,161800.0,1587,CORP,0.0,161800.0,12000.0,11:20:19,4.345,1060.0,0.6548,95.57,Tecpetrol S.A.,30592665472,Energía - Petróleo y Gas,True
15000.0,PLC4O,0.0029,162800.0,163260.0,0.0,163240.6666667,,8,163400.0,2,,,2032-05-30,162800.0,2,20000.0,163400.0,ARS,163080.0,163110.0,BYMA,24486100.0,15000.0,163280.0,2161,CORP,0.0,163280.0,19000.0,11:31:06,5.9165,180.0,0.1104,98.5,Pluspetrol S.A.,30678224010,Energía - Petróleo y Gas,True
17409.0,PNICO,-0.011699999999999999,127500.0,126000.0,0.0,126000.0,,54,126000.0,-1,,,2032-02-07,127500.0,2,1191.0,126000.0,ARS,125600.0,126000.0,BYMA,21935340.0,17409.0,126000.0,2048,CORP,0.0,126000.0,1995.0,11:32:03,5.6071,400.0,0.3185,97.88,Pan American Energy LLC (PAE Sucursal),30714813583,Energía - Petróleo y Gas,True
12842.0,YMCXO,-0.0021,170760.0,171180.0,0.0,170461.084722,,20,172000.0,-1,,,2031-09-11,170760.0,1,370.0,173500.0,ARS,169790.0,170400.0,BYMA,21890612.5,12842.0,170400.0,1899,CORP,0.0,170400.0,14605.0,11:30:40,5.1992,1390.0,0.8187,94.59,YPF S.A.,30546689979,Energía - Petróleo y Gas,True
13483.0,DNC3O,0.0049,154150.0,155270.0,0.0,154774.2379292,,35,155000.0,2,,,2026-11-22,154150.0,2,560.0,156000.0,ARS,154740.0,154250.0,BYMA,20868210.5,13483.0,154920.0,145,CORP,0.0,154920.0,25000.0,11:28:01,0.397,530.0,0.3425,97.65,EDENOR S.A.,30655116202,,True
11434.0,TLCPO,-0.0104,169500.0,169050.0,0.0,168628.7738324,,14,173000.0,-1,,,2033-05-28,169500.0,1,3495.0,173000.0,ARS,167680.0,167630.0,BYMA,19281014.0,11434.0,167730.0,2524,CORP,0.0,167730.0,91.0,11:24:18,6.9103,1370.0,0.817,94.45,Telecom Argentina S.A.,30639453738,Telecomunicaciones,True
10588.0,YM38O,0.0022,158350.0,159290.0,0.0,157397.0863241,,10,155560.0,0,,,2027-07-22,158350.0,2,5804.0,159500.0,ARS,158890.0,155550.0,BYMA,16665203.5,10588.0,158710.0,387,CORP,0.0,158710.0,200000.0,11:22:58,1.0595,400.0,0.2517,97.62,YPF S.A.,30546689979,Energía - Petróleo y Gas,True
10900.0,RUCEO,0.0105,151640.0,153100.0,0.0,152184.7706422,,13,153000.0,0,,,2027-10-30,151640.0,2,2000.0,153240.0,ARS,152000.0,151800.0,BYMA,16588140.0,10900.0,153240.0,487,CORP,0.0,153240.0,3600.0,11:27:37,1.3333,1100.0,0.7237,94.89,CERAMICA RUTA 16 S.R.L.,30710080085,,True
10553.0,VSCWO,0.005600000000000001,155800.0,156680.0,0.0,151644.6129063,,11,158000.0,-1,,,2027-03-15,155800.0,2,78215.0,158000.0,ARS,155550.0,148900.0,BYMA,16003056.0,10553.0,156680.0,258,CORP,0.0,156680.0,150000.0,11:29:45,0.7064,1130.0,0.7265,94.78,Vista Oil & Gas Argentina S.A.U.,33515950899,Energía - Petróleo y Gas,True
10030.0,YFCLO,0.0031,159490.0,159990.0,0.0,157026.5413759,,5,160000.0,0,,,2028-11-21,159490.0,2,1451.0,160000.0,ARS,156670.0,157000.0,BYMA,15749762.1,10030.0,160000.0,875,CORP,0.0,160000.0,149.0,11:22:56,2.3956,3320.0,2.1191,90.25,YPF Energía Eléctrica S.A.,30714128309,Energía - Electricidad,True
10000.0,SBC3O,0.0167,149000.0,0.0,0.0,151500.0,,1,151500.0,0,,,2029-05-26,149000.0,2,0.0,151500.0,ARS,151500.0,151500.0,BYMA,15150000.0,10000.0,151500.0,1061,CORP,0.0,151500.0,4873.0,11:31:14,2.9049,,,72.61,SAN BAUTISTA DEL SUR SA,30715659340,,True
9138.0,VSCRO,-0.0031,162300.0,165880.0,0.0,162763.9899322,,37,164000.0,2,,,2031-10-10,162300.0,1,1712.0,164000.0,ARS,163180.0,161790.0,BYMA,14873373.4,9138.0,161790.0,1928,CORP,0.0,161790.0,1.0,11:16:47,5.2786,2700.0,1.6546,91.95,Vista Oil & Gas Argentina S.A.U.,33515950899,Energía - Petróleo y Gas,True
9089.0,OZC3O,0.0022,153000.0,153460.0,0.0,153404.0961602,,5,154980.0,2,,,2027-11-29,153000.0,2,30000.0,154980.0,ARS,152900.0,153350.0,BYMA,13942898.3,9089.0,153350.0,517,CORP,0.0,153350.0,40.0,11:12:53,1.4155,560.0,0.3663,96.56,EMPRESA DISTRIB DE ELECTRICIDAD DE MENDOZA S.A.,30699542454,,True
7000.0,TLCMO,0.0046,174900.0,175520.0,0.0,175385.7142857,,4,175200.0,0,,,2031-07-18,174900.0,2,14000.0,175710.0,ARS,175320.0,175200.0,BYMA,12277000.0,7000.0,175710.0,1844,CORP,0.0,175710.0,7000.0,11:02:20,5.0486,200.0,0.1141,97.69,Telecom Argentina S.A.,30639453738,Telecomunicaciones,True
6900.0,DNC7O,0.0018,163650.0,163770.0,0.0,163654.3478261,,14,163560.0,0,,,2030-10-24,163650.0,2,4900.0,163960.0,ARS,163610.0,163100.0,BYMA,11292150.0,6900.0,163960.0,1577,CORP,0.0,163960.0,100.0,11:27:58,4.3176,160.0,0.0978,98.51,EDENOR S.A.,30655116202,,True
7000.0,GN49O,0.0011,160200.0,160150.0,0.0,160210.0,,5,159290.0,-1,,,2033-12-02,160200.0,2,4000.0,160390.0,ARS,159380.0,159290.0,BYMA,11214700.0,7000.0,160390.0,2712,CORP,0.0,160390.0,2000.0,11:29:18,7.4251,770.0,0.4831,95.81,Genneia S.A.,30665234114,Energía - Renovable,True
7180.0,PN34O,-0.0066,156030.0,157880.0,0.0,155502.6532033,,14,156020.0,2,,,2027-09-27,156030.0,2,2265.0,157900.0,ARS,154630.0,154050.0,BYMA,11165090.5,7180.0,155000.0,454,CORP,0.0,155000.0,4474.0,11:19:52,1.243,3250.0,2.1018,90.7,Pan American Energy LLC (PAE Sucursal),30714813583,Energía - Petróleo y Gas,True
6700.0,CS47O,-0.008100000000000001,158990.0,163000.0,0.0,157682.0895522,,23,157500.0,-1,,,2028-11-15,158990.0,2,1620.0,157700.0,ARS,157700.0,157500.0,BYMA,10564700.0,6700.0,157700.0,869,CORP,0.0,157700.0,1400.0,11:30:54,2.3792,5300.0,3.3608,88.84,Cresud S.A.C.I.F. y A.,30509300700,Agro - Real Estate,True
6000.0,VSCVO,-0.0004,166170.0,167020.0,0.0,166871.6666667,,5,169000.0,0,,,2033-06-10,166170.0,1,2000.0,169000.0,ARS,166270.0,165970.0,BYMA,10012300.0,6000.0,166090.0,2537,CORP,0.0,166090.0,4000.0,11:26:12,6.9459,750.0,0.4511,95.92,Vista Oil & Gas Argentina S.A.U.,33515950899,Energía - Petróleo y Gas,True
6343.0,YM37O,0.005699999999999999,156100.0,157260.0,0.0,156522.3868832,,37,156100.0,2,,,2027-05-07,156100.0,2,1163.0,157000.0,ARS,156590.0,156100.0,BYMA,9928215.0,6343.0,156990.0,311,CORP,0.0,156990.0,3102.0,11:23:30,0.8515,670.0,0.4279,96.95,YPF S.A.,30546689979,Energía - Petróleo y Gas,True
5951.0,YM42O,0.0048,157780.0,158990.0,0.0,159394.1438414,,21,161080.0,-1,,,2029-03-02,157780.0,2,480.0,161090.0,ARS,158510.0,158220.0,BYMA,9485545.5,5951.0,158540.0,976,CORP,0.0,158540.0,11801.0,11:31:07,2.6721,480.0,0.3028,97.34,YPF S.A.,30546689979,Energía - Petróleo y Gas,True
5219.0,YMCYO,0.0043,157200.0,157800.0,0.0,156792.6729258,,15,158500.0,2,,,2028-10-10,157200.0,2,7604.0,158500.0,ARS,156780.0,156510.0,BYMA,8183009.6,5219.0,157890.0,833,CORP,0.0,157890.0,147.0,11:27:02,2.2806,1020.0,0.6506,95.3,YPF S.A.,30546689979,Energía - Petróleo y Gas,True
5000.0,TSC4O,0.002,161380.0,162940.0,0.0,162070.0,,3,163650.0,0,,,2035-11-20,161380.0,2,10000.0,163650.0,ARS,161650.0,161640.0,BYMA,8103500.0,5000.0,161710.0,3430,CORP,0.0,161710.0,3000.0,11:29:47,9.3908,1290.0,0.798,93.19,[TSC],,Sin mapear,False
5020.0,YMCJO,0.0182,158050.0,160940.0,0.0,160501.7330677,,7,160380.0,-1,,,2033-09-30,158050.0,1,28374.0,160940.0,ARS,160930.0,160350.0,BYMA,8057187.0,5020.0,160940.0,2649,CORP,0.0,160940.0,868.0,11:32:40,7.2526,10.0,0.0062,98.24,YPF S.A.,30546689979,Energía - Petróleo y Gas,True
6410.0,MR46O,-0.024700000000000003,125050.0,134990.0,0.0,121981.574103,,5,125040.0,0,,,2034-12-31,125050.0,2,31.0,125040.0,ARS,125550.0,121650.0,BYMA,7819018.9,6410.0,121950.0,3106,CORP,0.0,121950.0,4012.0,10:59:48,8.5038,9440.0,7.5189,85.04,Generación Mediterránea / Central Térmica Roca S.A.,33711944899,Energía - Electricidad,True
4542.0,YM34O,-0.0007000000000000001,169180.0,169410.0,0.0,169448.4191986,,21,169990.0,2,,,2034-01-17,169180.0,1,680.0,169990.0,ARS,169170.0,168970.0,BYMA,7696347.2,4542.0,169060.0,2758,CORP,0.0,169060.0,288.0,11:19:38,7.551,240.0,0.1419,98.14,YPF S.A.,30546689979,Energía - Petróleo y Gas,True
4654.0,PQCSO,0.0123,160020.0,162000.0,0.0,159828.5453373,,17,161000.0,-1,,,2031-02-17,160020.0,2,12739.0,162000.0,ARS,159040.0,158550.0,BYMA,7438420.5,4654.0,162000.0,1693,CORP,0.0,162000.0,189.0,11:30:04,4.6352,2960.0,1.8612,91.06,Petroquímica Comodoro Rivadavia S.A.,30563598111,Industria - Petroquímica,True
4735.0,CS44O,0.0016,155960.0,159490.0,0.0,156094.9123548,,25,156010.0,0,,,2027-01-17,155960.0,2,711.0,159690.0,ARS,156370.0,155980.0,BYMA,7391094.1,4735.0,156210.0,201,CORP,0.0,156210.0,25000.0,11:25:56,0.5503,3120.0,1.9953,90.81,Cresud S.A.C.I.F. y A.,30509300700,Agro - Real Estate,True
4509.0,OLC6O,-0.008100000000000001,159500.0,165410.0,0.0,158064.7150144,,2,157590.0,0,,,2029-06-05,159500.0,2,1500.0,158200.0,ARS,158190.0,157590.0,BYMA,7127138.0,4509.0,158200.0,1071,CORP,0.0,158200.0,75000.0,11:24:14,2.9322,7220.0,4.5641,85.83,OLEODUCTOS DEL VALLE S.A.,30658840165,,True
4082.0,IRCOO,0.0045000000000000005,162200.0,162410.0,0.0,162403.8755512,,13,162950.0,2,,,2029-10-23,162200.0,2,1847.0,163020.0,ARS,162200.0,162210.0,BYMA,6629326.2,4082.0,162940.0,1211,CORP,0.0,162940.0,3.0,11:16:24,3.3155,210.0,0.1295,97.99,IRSA Inversiones y Representaciones S.A.,30524688673,Real Estate,True
4096.0,DEC2O,0.0025,154400.0,156440.0,0.0,154781.5185547,,3,154000.0,0,,,2027-02-24,154400.0,2,4000.0,154800.0,ARS,154510.0,154000.0,BYMA,6339851.0,4096.0,154800.0,239,CORP,0.0,154800.0,5875.0,10:51:48,0.6543,1930.0,1.2491,91.2,Empresa Distrib. de Electricidad Salta S.A.,30690633635,Energía - Electricidad,True
3918.0,VSCUO,0.012199999999999999,164330.0,166330.0,0.0,159632.1133231,,10,163500.0,0,,,2030-03-07,164330.0,2,2803.0,166340.0,ARS,162290.0,159000.0,BYMA,6254386.2,3918.0,166340.0,1346,CORP,0.0,166340.0,2204.0,11:22:20,3.6851,4040.0,2.4894,89.47,Vista Oil & Gas Argentina S.A.U.,33515950899,Energía - Petróleo y Gas,True
4000.0,VBC1O,0.0045000000000000005,156240.0,158630.0,0.0,155212.5,,3,153500.0,0,,,2027-03-11,156240.0,2,1000.0,156950.0,ARS,154500.0,153500.0,BYMA,6208500.0,4000.0,156950.0,254,CORP,0.0,156950.0,12000.0,11:21:07,0.6954,4130.0,2.6731,88.26,[VBC],,Sin mapear,False
3855.0,ZZC1O,-0.0069,157390.0,158160.0,0.0,156484.3942931,,6,159900.0,2,,,2027-02-21,157390.0,2,4263.0,159900.0,ARS,156510.0,156290.0,BYMA,6032473.4,3855.0,156290.0,236,CORP,0.0,156290.0,1500.0,11:18:51,0.6461,1650.0,1.0542,92.1,[ZZC],,Sin mapear,False
3445.0,IRCPO,0.008100000000000001,163960.0,165540.0,0.0,167787.7474601,,7,169490.0,0,,,2035-03-31,163960.0,1,32114.0,169490.0,ARS,165000.0,164620.0,BYMA,5780287.9,3445.0,165290.0,3196,CORP,0.0,165290.0,628.0,11:23:00,8.7502,540.0,0.3273,96.46,IRSA Inversiones y Representaciones S.A.,30524688673,Real Estate,True
3104.0,YM39O,-0.0045000000000000005,174800.0,173990.0,0.0,174000.0,,3,174000.0,-1,,,2030-07-22,174800.0,1,2196.0,174000.0,ARS,171410.0,174000.0,BYMA,5400960.0,3104.0,174000.0,1483,CORP,0.0,174000.0,203.0,10:58:25,4.0602,2580.0,1.5052,90.41,YPF S.A.,30546689979,Energía - Petróleo y Gas,True
5200502.0,SXC1O,-0.0163,107.3,105.3,0.0,101.0383028,,9,103.6,0,,,2026-07-18,107.3,2,1.0,105.55,ARS,102.3,99.13,BYMA,5254498.96,5200502.0,105.55,18,CORP,0.0,105.55,600000.0,11:22:25,0.0493,3.0,2.9326,88.58,MERCADO PAGO SERVICIOS DE PROCESAMIENTO S.R.L.,30716999498,,True
3000.0,PN43O,0.0009,167240.0,167230.0,0.0,168040.0,,2,169320.0,2,,,2037-01-15,167240.0,2,11000.0,169320.0,ARS,166920.0,167400.0,BYMA,5041200.0,3000.0,167400.0,3852,CORP,0.0,167400.0,2000.0,11:28:02,10.5462,310.0,0.1857,96.21,Pan American Energy LLC (PAE Sucursal),30714813583,Energía - Petróleo y Gas,True
3153.0,PN35O,0.0063,160960.0,161990.0,0.0,159712.7561053,,12,162810.0,-1,,,2029-09-27,160960.0,2,216.0,162810.0,ARS,161330.0,159410.0,BYMA,5035743.2,3153.0,161990.0,1185,CORP,0.0,161990.0,5502.0,11:31:49,3.2444,660.0,0.4091,96.23,Pan American Energy LLC (PAE Sucursal),30714813583,Energía - Petróleo y Gas,True
3018.0,XMC1O,-0.0034999999999999996,155900.0,158120.0,0.0,155350.0,,3,155350.0,-1,,,2027-11-11,155900.0,1,1912.0,155350.0,ARS,153630.0,155350.0,BYMA,4688463.0,3018.0,155350.0,499,CORP,0.0,155350.0,3604.0,11:25:06,1.3662,4490.0,2.9226,87.73,Minera Exar S.A.,30709667587,Minería - Litio,True
2763.0,PN35O,-0.020499999999999997,162580.0,163850.0,0.0,159240.0,,3,159240.0,-1,,,2029-09-27,162580.0,1,2628.0,159240.0,ARS,161160.0,159240.0,BYMA,4399801.2,2763.0,159240.0,1185,CORP,0.0,159240.0,3828.0,10:48:25,3.2444,2690.0,1.6691,89.94,Pan American Energy LLC (PAE Sucursal),30714813583,Energía - Petróleo y Gas,True
2373.0,TLCTO,0.009300000000000001,167880.0,169300.0,0.0,169211.7024863,,6,169190.0,0,,,2036-01-20,167880.0,1,28927.0,169450.0,ARS,169210.0,169190.0,BYMA,4015393.7,2373.0,169450.0,3491,CORP,0.0,169450.0,2.0,11:28:19,9.5578,90.0,0.0532,97.6,Telecom Argentina S.A.,30639453738,Telecomunicaciones,True
2450.0,LOC5O,0.0011,160950.0,161910.0,0.0,161142.6530612,,4,160960.0,-1,,,2027-07-24,160950.0,2,50.0,162430.0,ARS,161480.0,160960.0,BYMA,3947995.0,2450.0,161130.0,389,CORP,0.0,161130.0,6200.0,11:01:35,1.065,430.0,0.2663,96.12,[LOC],,Sin mapear,False
3500.0,PECNO,0.0058,101800.0,103000.0,0.0,102045.7142857,,6,102000.0,0,,,2032-08-25,101800.0,2,400.0,102400.0,ARS,102400.0,102000.0,BYMA,3571600.0,3500.0,102400.0,2248,CORP,0.0,102400.0,3600.0,11:23:25,6.1547,600.0,0.5859,94.66,PETROLERA ACONCAGUA ENERGIA S.A.,30714814229,,True
2200.0,OTS2O,-0.004,154920.0,159500.0,0.0,154300.05,,4,154410.0,-1,,,2027-04-24,154920.0,1,1375.0,154410.0,ARS,154450.0,154300.0,BYMA,3394601.1,2200.0,154300.0,298,CORP,0.0,154300.0,1.0,11:25:15,0.8159,5050.0,3.2697,87.41,[OTS],,Sin mapear,False
2155.0,YFCGO,-0.004699999999999999,157290.0,156550.0,0.0,156661.2343387,,13,157250.0,0,,,2027-02-27,157290.0,2,139.0,157250.0,ARS,156000.0,156000.0,BYMA,3376049.6,2155.0,156550.0,242,CORP,0.0,156550.0,29000.0,11:23:35,0.6626,550.0,0.3526,96.36,YPF Energía Eléctrica S.A.,30714128309,Energía - Electricidad,True
2106.0,MGCNO,0.0051,156260.0,157060.0,0.0,157393.8034188,,11,157700.0,-1,,,2028-10-04,156260.0,2,14.0,157700.0,ARS,156030.0,157060.0,BYMA,3314713.5,2106.0,157060.0,827,CORP,0.0,157060.0,4543.0,11:30:19,2.2642,1030.0,0.6601,94.5,Pampa Energía S.A.,30526552659,Energía - Electricidad,True
2000.0,BACGO,0.0034999999999999996,160290.0,160750.0,0.0,160580.0,,2,160300.0,0,,,2029-06-23,160290.0,2,8000.0,160860.0,ARS,159560.0,160300.0,BYMA,3211600.0,2000.0,160860.0,1089,CORP,0.0,160860.0,46000.0,11:31:43,2.9815,1190.0,0.7458,92.58,[BAC],,Sin mapear,False
2095.0,TTCEO,0.0006,152900.0,153000.0,0.0,152658.2911695,,5,151510.0,-1,,,2029-05-21,152900.0,2,629.0,153400.0,ARS,151520.0,151510.0,BYMA,3198191.2,2095.0,153000.0,1056,CORP,0.0,153000.0,100000.0,11:30:36,2.8912,1480.0,0.9768,91.94,Tecpetrol S.A.,30592665472,Energía - Petróleo y Gas,True
2063.0,OTS2O,-0.0032,154950.0,159770.0,0.0,154450.0,,3,154450.0,-1,,,2027-04-24,154950.0,2,2045.0,154450.0,ARS,154460.0,154450.0,BYMA,3186303.5,2063.0,154450.0,298,CORP,0.0,154450.0,11187.0,11:25:16,0.8159,5310.0,3.4378,86.82,[OTS],,Sin mapear,False
2000.0,MTC2O,0.0254,153300.0,157200.0,0.0,157200.0,,1,157200.0,0,,,2028-06-22,153300.0,2,1475.0,157200.0,ARS,153300.0,157200.0,BYMA,3144000.0,2000.0,157200.0,723,CORP,0.0,157200.0,100.0,11:31:58,1.9795,3900.0,2.544,87.26,Mastellone Hermanos S.A.,30547242331,Alimentos - Lácteos,True
2000.0,TLCWO,0.0291,152500.0,156940.0,0.0,156940.0,,1,156940.0,0,,,2030-05-29,152500.0,2,14243.0,156940.0,ARS,150300.0,156940.0,BYMA,3138800.0,2000.0,156940.0,1429,CORP,0.0,156940.0,108011.0,11:32:37,3.9124,6640.0,4.4178,84.92,Telecom Argentina S.A.,30639453738,Telecomunicaciones,True
1947.0,NPCDO,0.0021,152280.0,152700.0,0.0,152600.0,,1,152600.0,0,,,2030-04-30,152280.0,2,30000.0,152600.0,ARS,150400.0,152600.0,BYMA,2971122.0,1947.0,152600.0,1400,CORP,0.0,152600.0,23297.0,11:06:19,3.833,2300.0,1.5293,89.15,[NPC],,Sin mapear,False
