base,issuer,cuit,sector,byma_symbols,currencies,in_byma,has_issuer,has_rating,rating,has_price,price_usd,price_src,has_mae_cf,n_cashflows,mae_currency,has_ytm,ytm_pct,in_rv,is_outlier,rv_score,exclusion_reason
DHSG,Credicuotas Consumo S.A.,30710911580,Financiero - Crédito Consumo,DHSGO,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
DHSH,Credicuotas Consumo S.A.,30710911580,Financiero - Crédito Consumo,DHSHO,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
DI2L,[DI2],,Sin mapear,DI2LC DI2LD,EXT USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
DI2LC.S,[DI2],,Sin mapear,DI2LC.SB,EXT,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
DI2LD.S,[DI2],,Sin mapear,DI2LD.SB,USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
DIC2,[DIC],,Sin mapear,DIC2L,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
DIC2L.S,[DIC],,Sin mapear,DIC2L.SB,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
DNC3,EDENOR S.A.,30655116202,,DNC3D,USD,True,True,True,A+(arg),True,101.85,USD,True,1,USD,True,6.356,True,True,,outlier (YTM o duration fuera de rango)
DNC5,EDENOR S.A.,30655116202,,DNC5Y,USD,True,True,True,A+(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
DNC7,EDENOR S.A.,30655116202,,DNC7C DNC7Y,EXT USD,True,True,True,A+(arg),True,103.85,EXT,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
DNCA,EDENOR S.A.,30655116202,,DNCAC DNCAD DNCAX DNCAY,ARS EXT USD,True,True,True,A+(arg),True,100.7,EXT,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
EAC1,MSU GREEN ENERGY S.A.U.,30714155128,,EAC1D EAC1O,ARS USD,True,True,True,A+(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
EAC3,MSU GREEN ENERGY S.A.U.,30714155128,,EAC3Y,USD,True,True,True,A+(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
EMC1,[EMC],,Sin mapear,EMC1D EMC1O EMC1X,ARS USD,True,True,False,,True,105.75,USD,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
FO4B,[FO4],,Sin mapear,FO4BD,USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
FPC1,[FPC],,Sin mapear,FPC1O,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
FTL1,FCA CIA. FINANCIERA SA,30692304884,,FTL1O,ARS,True,True,True,AA(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
FTN1,[FTN],,Sin mapear,FTN1X,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
FTN3,[FTN],,Sin mapear,FTN3X,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
FYC1,[FYC],,Sin mapear,FYC1O,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
GMCG,GENERACION MEDITERRANEA S.A.,30682434720,,GMCGO,ARS,True,True,True,D(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
GN37,Genneia S.A.,30665234114,Energía - Renovable,GN37O GN37Z,ARS EXT,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
GN41,Genneia S.A.,30665234114,Energía - Renovable,GN41O,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
GN42,Genneia S.A.,30665234114,Energía - Renovable,GN42O,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
GN43,Genneia S.A.,30665234114,Energía - Renovable,GN43O,ARS,True,True,False,,True,101.7052,ARS/CCL,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
GN47,Genneia S.A.,30665234114,Energía - Renovable,GN47C GN47O GN47X,ARS EXT,True,True,False,,True,97.664,ARS/CCL,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
GN48,Genneia S.A.,30665234114,Energía - Renovable,GN48C GN48D GN48O,ARS EXT USD,True,True,False,,True,102.8,USD,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
GN49,Genneia S.A.,30665234114,Energía - Renovable,GN49D GN49O,ARS USD,True,True,False,,True,109.0,USD,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
GOC4,GENERACION LITORAL SA,33715184139,,GOC4O,ARS,True,True,True,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
GYC3,[GYC],,Sin mapear,GYC3O,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
GYC4,[GYC],,Sin mapear,GYC4D,USD,True,True,False,,True,99.25,USD,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
GYC5,[GYC],,Sin mapear,GYC5D GYC5O,ARS USD,True,True,False,,True,101.4,USD,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
HBCA,BANCO HIPOTECARIO S.A.,30500011072,,HBCAO,ARS,True,True,True,AA-(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
HBCB,BANCO HIPOTECARIO S.A.,30500011072,,HBCBO,ARS,True,True,True,AA-(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
HBCF,BANCO HIPOTECARIO S.A.,30500011072,,HBCFY,USD,True,True,True,AA-(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
HJCB,John Deere Credit Cía. Financiera S.A.,30707024859,Financiero - Crédito Industrial,HJCBO,ARS,True,True,True,AA(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
HJCF,John Deere Credit Cía. Financiera S.A.,30707024859,Financiero - Crédito Industrial,HJCFC HJCFO,ARS EXT,True,True,True,AA(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
HJCG,John Deere Credit Cía. Financiera S.A.,30707024859,Financiero - Crédito Industrial,HJCGO,ARS,True,True,True,AA(arg),True,96.9904,ARS/CCL,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
HJCH,John Deere Credit Cía. Financiera S.A.,30707024859,Financiero - Crédito Industrial,HJCHD,USD,True,True,True,AA(arg),True,104.95,USD,True,4,USD,True,5.49,True,False,-0.31,
HJCI,John Deere Credit Cía. Financiera S.A.,30707024859,Financiero - Crédito Industrial,HJCID,USD,True,True,True,AA(arg),True,101.6,USD,True,5,USD,True,6.124,True,False,0.21,
HJCJ,John Deere Credit Cía. Financiera S.A.,30707024859,Financiero - Crédito Industrial,HJCJD HJCJO,ARS USD,True,True,True,AA(arg),True,105.8,USD,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
HJCK,John Deere Credit Cía. Financiera S.A.,30707024859,Financiero - Crédito Industrial,HJCKD HJCKO,ARS USD,True,True,True,AA(arg),True,105.05,USD,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
HVS1,[HVS],,Sin mapear,HVS1Y,USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
IRCF,IRSA Inversiones y Representaciones S.A.,30524688673,Real Estate,IRCFC,EXT,True,True,True,AAA(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
IRCJ,IRSA Inversiones y Representaciones S.A.,30524688673,Real Estate,IRCJC IRCJD,EXT USD,True,True,True,AAA(arg),True,103.1,USD,True,2,USD,True,5.222,True,False,-0.027,
IRCL,IRSA Inversiones y Representaciones S.A.,30524688673,Real Estate,IRCLD IRCLO,ARS USD,True,True,True,AAA(arg),True,102.35,USD,True,1,USD,True,41.754,True,True,,outlier (YTM o duration fuera de rango)
IRCN,IRSA Inversiones y Representaciones S.A.,30524688673,Real Estate,IRCND,USD,True,True,True,AAA(arg),True,103.1,USD,True,4,USD,True,4.99,True,False,-0.56,
IRCO,IRSA Inversiones y Representaciones S.A.,30524688673,Real Estate,IRCOY,USD,True,True,True,AAA(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
IRCP,IRSA Inversiones y Representaciones S.A.,30524688673,Real Estate,IRCPY,USD,True,True,True,AAA(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
JNC5,[JNC],,Sin mapear,JNC5Y,USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
LDCG,[LDC],,Sin mapear,LDCGO,ARS,True,True,False,,True,97.6236,ARS/CCL,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
LIC6,[LIC],,Sin mapear,LIC6O,ARS,True,True,False,,True,32.2965,ARS/CCL,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
LMS6,BLM DESARROLLOS SA,30718221516,,LMS6C LMS6X LMS6Y,ARS EXT USD,True,True,True,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
LMS7,BLM DESARROLLOS SA,30718221516,,LMS7C LMS7D LMS7X LMS7Y,ARS EXT USD,True,True,True,,True,84.56,EXT,True,10,USD,True,6.67,True,False,2.06,
LMS8,BLM DESARROLLOS SA,30718221516,,LMS8D LMS8X LMS8Y,ARS USD,True,True,True,,True,106.2,USD,True,4,USD,True,-5.155,True,True,,outlier (YTM o duration fuera de rango)
LMS9,BLM DESARROLLOS SA,30718221516,,LMS9D LMS9Y,USD,True,True,True,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
LR6B,Laboratorios Richmond S.A.C.I.F.,30501152826,Salud - Farma,LR6BC LR6BO,ARS EXT,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
LR7B,LABORATORIOS RICHMOND S.A.C.I.F.,30501152826,,LR7BO,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
LUC3,[LUC],,Sin mapear,LUC3X,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
LUC4,[LUC],,Sin mapear,LUC4D LUC4X,ARS USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
LUC5,[LUC],,Sin mapear,LUC5D LUC5X,ARS USD,True,True,False,,True,101.4,USD,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
MCC2,[MCC],,Sin mapear,MCC2C MCC2Y,EXT USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
MCC3,[MCC],,Sin mapear,MCC3C,EXT,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
MGCE,Pampa Energía S.A.,30526552659,Energía - Electricidad,MGCED MGCEO MGCEX,ARS USD,True,True,True,AAA(arg),True,100.95,USD,True,1,USD,True,-0.612,True,False,-10.266,
MGCM,Pampa Energía S.A.,30526552659,Energía - Electricidad,MGCMC MGCMX,ARS EXT,True,True,True,AAA(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
MGCN,Pampa Energía S.A.,30526552659,Energía - Electricidad,MGCND MGCNO MGCNX,ARS USD,True,True,True,AAA(arg),True,103.0,USD,True,5,USD,True,4.81,True,False,-0.089,
MGCO,Pampa Energía S.A.,30526552659,Energía - Electricidad,MGCOC MGCOX,ARS EXT,True,True,True,AAA(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
MGCQ,Pampa Energía S.A.,30526552659,Energía - Electricidad,MGCQC MGCQO MGCQZ,ARS EXT,True,True,True,AAA(arg),True,104.2,EXT,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
MGCR,Pampa Energía S.A.,30526552659,Energía - Electricidad,MGCRX MGCRZ,ARS EXT,True,True,True,AAA(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
MGCT,Pampa Energía S.A.,30526552659,Energía - Electricidad,MGCTC MGCTD,EXT USD,True,True,True,AAA(arg),True,99.32,EXT,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
MIC3,MIRGOR S.A.,30578036071,,MIC3D MIC3O,ARS USD,True,True,True,,True,101.4,USD,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
MIC6,MIRGOR S.A.,30578036071,,MIC6O,ARS,True,True,True,,True,96.3708,ARS/CCL,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
MJC1,[MJC],,Sin mapear,MJC1O,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
MR39,Generación Mediterránea / Central Térmica Roca S.A.,33711944899,Energía - Electricidad,MR39D MR39O MR39Z,ARS EXT USD,True,True,False,,True,77.05,USD,True,11,USD,True,20.171,True,False,1.529,
MR41,Generación Mediterránea / Central Térmica Roca S.A.,33711944899,Energía - Electricidad,MR41D,USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
MSSB,MSU S.A.,30607597193,Energía,MSSBX,ARS,True,True,True,A+(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
MSSE,MSU S.A.,30607597193,Energía,MSSEC MSSED MSSEO MSSEZ,ARS EXT USD,True,True,True,A+(arg),True,105.95,USD,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
