issuer,cuit,sector,is_mapped,cantidad_ons,con_trade,volumen_total,liquidity_score_promedio,spread_pct_promedio,spread_pct_median,years_to_maturity_promedio
GENER.MEDITE./CENTRAL TERMICA ROCA S.A.,33711944899,,True,2,1,540.0,47.7567,68.0,68.0,9.963
[ROC],,Sin mapear,False,1,1,323.16,57.86,,,1.2047
[FO4],,Sin mapear,False,5,1,65.95,39.0388,3.4748,3.4748,1.4562
[HVS],,Sin mapear,False,3,1,48.76,39.846,4.3821,4.3821,1.9849
S.A. San Miguel,30511190238,Agro - Frutícola,True,2,1,1.32,47.72,20.7391,20.7391,0.0411
AGROTECNOLOGIA SALA S.A.,30542790780,,True,1,0,0.0,32.68,,,0.1095
BANCO BBVA ARGENTINA S.A.,30500003193,,True,12,0,0.0,35.3562,6.9997,8.053,1.1931
Agronorte S.R.L.,30547794482,Agro,True,2,0,0.0,32.68,,,0.8734
BANCO DE CREDITO Y SECURITIZACION SA,30707227415,,True,2,0,0.0,32.68,,,0.3368
ASPRO SERVICIOS PETROLEROS SA,30715595105,,True,1,0,0.0,32.68,,,0.0301
CAPEX S.A.,30629827060,,True,3,0,0.0,32.68,,,0.9747
C&C MEDICAL S S.A.,30707174702,,True,1,0,0.0,32.68,,,1.7577
Banco CMF S.A.,30576614299,Financiero - Bancos,True,1,0,0.0,32.68,,,0.1259
Banco Supervielle S.A.,33500005179,Financiero - Bancos,True,12,0,0.0,35.3317,1.9759,1.6486,0.6075
TRESNAL AGROPECUARIA S.A.,33708830599,,True,2,0,0.0,32.68,,,0.7255
TELECOM ARGENTINA S.A.,30639453738,,True,4,0,0.0,32.68,,,0.7733
TALLERES METALURGICOS CRUCIANELLI S.A.,30503423347,,True,1,0,0.0,32.68,,,0.1588
Rombo Cía. Financiera S.A.,33707124909,Financiero - Crédito Automotriz,True,7,0,0.0,32.68,,,0.5647
PETROQUIMICA COMODORO RIVADAVIA S.A,30563598111,,True,2,0,0.0,32.68,,,1.0048
NAVARRO S.A.,30707012672,,True,1,0,0.0,32.68,,,0.1177
PROCESOS INDUSTRIALES METALLO SA,30716855372,,True,1,0,0.0,32.68,,,0.7885
SPECIAL GRAINS S.A/PETROAGRO S.A.,30600615889,,True,1,0,0.0,32.68,,,0.2437
RICARDO VENTURINO S.A,30698318895,,True,3,0,0.0,32.68,,,1.5779
Plaza Logística S.R.L.,30655942382,Logística - Real Estate,True,6,0,0.0,35.855,1.9998,1.9998,0.7781
Rizobacter Argentina S.A.,30593174057,Agro - Biotech,True,5,0,0.0,35.6343,28.7579,28.7579,1.8789
PROSEIND S.A.,30707009892,,True,1,0,0.0,32.68,,,0.8652
NUEVO BANCO DEL CHACO S.A.,30670157799,,True,2,0,0.0,32.68,,,0.4052
PAN AMERICAN ENERGY LLC (PAE SUCURSAL),30714813583,,True,5,0,0.0,32.68,,,0.9719
CROWN POINT ENERGIA S.A.,30709346268,,True,2,0,0.0,35.415,9.095,9.095,1.295
Compañía TSB S.A.,30707810927,Consumo - Automotriz,True,1,0,0.0,32.68,,,0.1862
CFN S.A.,30641056177,,True,1,0,0.0,32.68,,,0.4134
HATTRICK ENERGY SAS,30715857460,,True,1,0,0.0,32.68,,,2.9624
GENERACION MEDITERRANEA S.A.,30682434720,,True,3,0,0.0,32.68,,,0.3712
CREATIVE PMO INTERNATIONAL S.A.,30714763225,,True,1,0,0.0,32.68,,,0.1971
FCA CIA. FINANCIERA SA,30692304884,,True,2,0,0.0,32.68,,,0.8734
Credicuotas Consumo S.A.,30710911580,Financiero - Crédito Consumo,True,7,0,0.0,32.68,,,0.2341
INSUGA CHACO S.A,33711217679,,True,2,0,0.0,39.9767,11.6315,11.6315,0.8542
PROCHEM BIO S.A.,30710218192,,True,1,0,0.0,32.68,,,0.5777
PROMEDON S.A.,30619780635,,True,3,0,0.0,32.68,,,2.4449
PRODEMAN S.A.,33669088499,,True,1,0,0.0,32.68,,,0.1478
PSA Finance Argentina Cía. Financiera S.A.,30707847367,Financiero - Crédito Automotriz,True,4,0,0.0,32.68,,,1.1576
YPF ENERGIA ELECTRICA S.A.,30714128309,,True,5,0,0.0,32.68,,,0.209
[DF3],,Sin mapear,False,1,0,0.0,32.68,,,0.0192
[EBS],,Sin mapear,False,1,0,0.0,32.68,,,1.7495
[CVS],,Sin mapear,False,2,0,0.0,32.68,,,0.5558
[CY2],,Sin mapear,False,2,0,0.0,32.68,,,0.846
[CRC],,Sin mapear,False,1,0,0.0,37.9,17.3333,17.3333,1.8398
[COC],,Sin mapear,False,5,0,0.0,32.68,,,0.1068
[BYY],,Sin mapear,False,6,0,0.0,36.2043,0.0499,0.0499,1.5367
[BNC],,Sin mapear,False,1,0,0.0,32.68,,,0.9418
[AX1],,Sin mapear,False,1,0,0.0,32.68,,,2.7379
[BGC],,Sin mapear,False,2,0,0.0,38.4225,6.4756,6.4756,0.334
[AXS],,Sin mapear,False,1,0,0.0,32.68,,,2.7379
Toyota Compañía Financiera de Argentina S.A.,30709000426,Financiero - Crédito Automotriz,True,1,0,0.0,32.68,,,0.6215
Zafra S.A.,30592486268,Agro,True,1,0,0.0,32.68,,,1.0103
[A11],,Sin mapear,False,1,0,0.0,32.68,,,1.7139
[AEC],,Sin mapear,False,6,0,0.0,32.68,,,1.128
[AU1],,Sin mapear,False,1,0,0.0,32.68,,,1.4401
Volkswagen Financial Services Cía. Financiera S.A.,30682419578,Financiero - Crédito Automotriz,True,2,0,0.0,32.68,,,1.41
VOLKSWAGEN FINANCIAL SERVICES COMPAÑIA FINANCIERA SA,30682419578,,True,2,0,0.0,32.68,,,0.4107
[OFS],,Sin mapear,False,1,0,0.0,32.68,,,2.7296
[FTN],,Sin mapear,False,4,0,0.0,32.68,,,1.0737
[FPC],,Sin mapear,False,1,0,0.0,32.68,,,1.577
[MU3],,Sin mapear,False,6,0,0.0,33.746,12.1212,12.1212,1.4319
[MJC],,Sin mapear,False,2,0,0.0,32.68,,,0.6023
[RAC],,Sin mapear,False,9,0,0.0,32.68,,,4.6013
[TE5],,Sin mapear,False,1,0,0.0,32.68,,,0.1533
[STC],,Sin mapear,False,5,0,0.0,32.68,,,0.5996
[PHC],,Sin mapear,False,2,0,0.0,38.7433,0.994,0.994,1.2822
[VA1],,Sin mapear,False,3,0,0.0,32.68,,,0.1807
[VAC],,Sin mapear,False,3,0,0.0,40.5475,55373307.7691,11.7931,1.2868
[WNC],,Sin mapear,False,1,0,0.0,32.68,,,0.8268
[YCA],,Sin mapear,False,6,0,0.0,33.7417,4.0681,4.0681,1.0185
[YPC],,Sin mapear,False,1,0,0.0,32.68,,,2.3053
