razon_social,cuit,sector,rating_lp,rating_cp,outlook,rating_date,fixscr_entity,source,vol_total,n_ons
BANCO SANTANDER ARGENTINA S.A,30500008454,,AAA(arg),A1+(arg),Perspectiva Estable,2026-04-30 00:00:00,Banco Santander Argentina S.A.,fixscr,0.0,0
PROCHEM BIO S.A.,30710218192,,,,,,,,0.0,0
Banco Supervielle S.A.,33500005179,Financiero - Bancos,,,,,,,0.0,7
BANCO DE SERVICIOS FINANCIEROS S.A.,30697265895,,A+(arg),A1(arg),Perspectiva Estable,2026-05-18 00:00:00,Banco de Servicios Financieros Carrefour S.A.U.,fixscr,0.0,0
COMPAÑIA TSB SA,30707810927,,,,,,,,0.0,1
HECTOR A. BERTONE SA,30708587415,,,,,,,,0.0,0
TERMOELECTRICA SA,30519527703,,,,,,,,0.0,0
LILIANA SRL,30516877223,,,,,,,,0.0,0
MADERO HARBOUR S.A.,33657476639,,,,,,,,0.0,0
HIDROTEC S.A.,30711075905,,,,,,,,0.0,0
GASTALDI HNOS. S.A.I. y C.F. e I.,30539081086,,,,,,,,0.0,0
RATTO HNOS S.AC.F.A.,30541416540,,,,,,,,0.0,0
HATTRICK ENERGY SAS,30715857460,,,,,,,,0.0,0
INSUGA CHACO S.A,33711217679,,,,,,,,0.0,0
INCLUSION FINANCIERA INTEGRAL S.R.L.,30718592425,,,,,,,,0.0,0
INTERCONNECT S.A.,33688256149,,,,,,,,0.0,0
ALBERTO J. OLIVERO E HIJOS S.A.,30590762233,,,,,,,,0.0,0
FERRETERA CENTRAL JT S.R.L.,30714228346,,,,,,,,0.0,0
MILKYNET S.A.,33717152749,,,,,,,,0.0,0
KLONAL SRL,30574564367,,,,,,,,0.0,0
BISORDI KREMAR SRL,30641234601,,,,,,,,0.0,0
LATITUD 45 PETROLEO Y GAS SA,30714108235,,,,,,,,0.0,0
ALBANESI S.A.,30682504125,,,,,,,,0.0,0
COLLINS S.A.,33714669899,,,,,,,,0.0,0
BANCO HIPOTECARIO S.A.,30500011072,,AA-(arg),A1+(arg),Perspectiva Estable,2026-04-15 00:00:00,Banco Hipotecario S.A.,fixscr,0.0,3
GESTION DE PRESTAMOS Y COBRANZAS,33715043519,,,,,,,,0.0,0
ASOCIACION CIVIL SUMATORIA PARA UNA NUEVA ECONOMIA,30716684594,,,,,,,,0.0,0
TRACE GROUP S.A.,30710685696,,,,,,,,0.0,0
ECOSUR BAHIA SOCIEDAD ANONIMA,30505607925,,,,,,,,0.0,0
TRESNAL AGROPECUARIA S.A.,33708830599,,,,,,,,0.0,0
ASSERCA S.R.L.,33710735609,,,,,,,,0.0,0
EXPRESO LANCIONI S.A,30708847247,,,,,,,,0.0,0
FERRETERIA DEL NORTE SRL,30707816410,,,,,,,,0.0,0
AFS GROUP S.A.,30716837994,,,,,,,,0.0,0
FCA CIA. FINANCIERA SA,30692304884,,AA(arg),A1+(arg),Perspectiva Estable,2026-05-08 00:00:00,FCA Compañía Financiera S.A.,fixscr,0.0,1
GRUAS SAN BLAS S.A,30660920451,,,,,,,,0.0,0
GEORGALOS HERMANOS Y CIA,30516139451,,,,,,,,0.0,0
GARRO FABRIL S.A,30539301388,,,,,,,,0.0,0
GRUPO COHEN S.A.,30558543317,,,,,,,,0.0,0
GUALOK SRL,30640576428,,,,,,,,0.0,0
GALERENT S.A.,30715157299,,,,,,,,0.0,0
Generación Mediterránea S.A.,30682434720,Energía - Electricidad,D(arg),D(arg),N.C,2026-04-14 00:00:00,Generación Mediterránea S.A.,fixscr,0.0,1
GENERACION LITORAL SA,33715184139,,,,,,,,0.0,1
ZUAMAR S.A.,33712110959,,,,,,,,0.0,0
